price,location
21000,philadelphia
132000,philadelphia
35,chicago
2500,chicago
2900,chicago
48,chicago
9995,chicago
49,chicago
6000,chicago
9,chicago
33,chicago
25,chicago
25,chicago
124800,chicago
37500,chicago
20,chicago
75,newyork
2510,newyork
13000,newyork
49900,newyork
9900,newyork
100,newyork
2507,newyork
1800,newyork
325,newyork
65950,newyork
2021,newyork
2000,newyork
2000,newyork
89500,newyork
64000,newyork
24888,sfbay
50,losangeles
24999,losangeles
74995,losangeles
5000,losangeles
3700,losangeles
23995,losangeles
22495,losangeles
15500,losangeles
81950,losangeles
62950,losangeles
72500,losangeles
56999,losangeles
115000,losangeles
9500,losangeles
9500,losangeles
19999,losangeles
15000,losangeles
18990,phoenix
54988,phoenix
12000,phoenix
57900,phoenix
51900,phoenix
84900,phoenix
32500,phoenix
8500,phoenix
21900,phoenix
24999,phoenix
450,phoenix
2400,phoenix
2300,phoenix
1000,phoenix
1800,phoenix
85054,phoenix
56829,houston
1,houston
12995,houston
32280,houston
35849,houston
24446,houston
12995,houston
24200,houston
24300,houston
12995,houston
483,houston
25300,houston
44300,houston
24600,houston
29711,houston
21600,houston
12000,philadelphia
4490,philadelphia
4400,philadelphia
5499,philadelphia
27000,philadelphia
8500,philadelphia
14999,philadelphia
15999,philadelphia
14999,philadelphia
35900,philadelphia
47000,philadelphia
18999,philadelphia
69900,philadelphia
34999,philadelphia
37500,chicago
16000,chicago
40,chicago
44000,chicago
39900,chicago
19400,chicago
12250,chicago
11983,chicago
29900,chicago
18500,chicago
40,chicago
200,chicago
19,chicago
2450,newyork
3100,newyork
3100,newyork
3200,newyork
2460,newyork
500,newyork
16000,newyork
17000,newyork
18000,newyork
4000,newyork
3312,newyork
2300,newyork
2490,newyork
172500,newyork
2470,newyork
21499,sfbay
14599,sfbay
17999,sfbay
27999,sfbay
28011,sfbay
28011,sfbay
13499,sfbay
52000,sfbay
29888,sfbay
12888,sfbay
7000,sfbay
4000,sfbay
16999,sfbay
3000,sfbay
30000,losangeles
3014,losangeles
55900,losangeles
16900,losangeles
1250,losangeles
25,losangeles
20000,losangeles
14995,losangeles
74999,losangeles
34950,losangeles
299,losangeles
400,losangeles
8900,losangeles
57900,phoenix
18900,phoenix
62900,phoenix
175,phoenix
39000,phoenix
200,phoenix
545,phoenix
545,phoenix
69800,phoenix
53731,phoenix
59950,phoenix
36900,phoenix
14490,phoenix
24888,phoenix
550,phoenix
75,phoenix
68888,phoenix
35999,philadelphia
34999,philadelphia
64999,philadelphia
23999,philadelphia
94999,philadelphia
19999,philadelphia
2520,philadelphia
1,philadelphia
1000,philadelphia
39999,philadelphia
33999,philadelphia
49999,philadelphia
61999,philadelphia
104999,philadelphia
44,chicago
305,chicago
14500,chicago
7000,chicago
55000,chicago
29,chicago
134995,chicago
9550,chicago
26988,chicago
2700,chicago
26988,chicago
28588,chicago
26988,chicago
26988,chicago
8500,chicago
8000,newyork
2406,newyork
500,newyork
300,newyork
5500,newyork
7000,newyork
5000,newyork
58750,newyork
29900,newyork
26000,newyork
22500,newyork
19995,dallas
1600,sandiego
70,sfbay
36999,sfbay
17999,sfbay
28999,sfbay
28999,sfbay
28999,sfbay
36999,sfbay
1300,sfbay
1,sfbay
4000,sfbay
140,sfbay
120,sfbay
180,sfbay
150,sfbay
200,sfbay
3700,losangeles
4700,losangeles
9300,losangeles
14900,losangeles
26400,losangeles
50500,losangeles
1800,losangeles
10500,losangeles
31500,losangeles
250,losangeles
250,losangeles
250,losangeles
250,losangeles
250,losangeles
59888,phoenix
21900,phoenix
1850,phoenix
1850,phoenix
425,phoenix
18900,phoenix
50,phoenix
24888,phoenix
25995,phoenix
64930,phoenix
9900,phoenix
27900,phoenix
75,phoenix
19990,phoenix
135,phoenix
89900,phoenix
12888,phoenix
53995,phoenix
23995,dallas
42000,dallas
18995,dallas
4300,dallas
13950,dallas
600,dallas
19995,dallas
22500,dallas
100,dallas
22000,dallas
19200,dallas
34100,dallas
39500,dallas
39500,dallas
32000,dallas
19995,dallas
54450,sandiego
8450,sandiego
250,sandiego
12900,sandiego
17990,sandiego
600,sandiego
9000,sandiego
1,sandiego
35990,sandiego
20995,sandiego
34900,sandiego
500,sandiego
23990,sandiego
11500,sandiego
9800,sandiego
24980,sandiego
18,sandiego
275,sfbay
150,sfbay
15000,sfbay
200,sfbay
240,sfbay
27888,sfbay
240,sfbay
130,sfbay
85,sfbay
200,sfbay
140,sfbay
125,sfbay
180,sfbay
14350,losangeles
14350,losangeles
28900,losangeles
29999,losangeles
26500,losangeles
30400,losangeles
150,losangeles
16500,losangeles
200,losangeles
200,losangeles
20000,losangeles
13999,losangeles
22999,losangeles
18999,losangeles
17999,losangeles
9700,losangeles
9700,losangeles
10995,phoenix
1800,phoenix
64900,phoenix
16900,phoenix
39500,dallas
50,dallas
4500,dallas
180,dallas
19200,dallas
30300,dallas
18977,dallas
19400,dallas
8300,dallas
56700,dallas
25995,dallas
14997,dallas
52044,dallas
22500,dallas
28888,dallas
2400,dallas
125995,dallas
425,sandiego
44850,sandiego
149900,sandiego
31450,sandiego
139850,sandiego
27450,sandiego
34900,sandiego
5990,sandiego
10500,sandiego
59850,sandiego
10500,sandiego
36500,sandiego
94450,sandiego
4549,sandiego
17500,sanantonio
200,sfbay
150,sfbay
17000,sfbay
130,sfbay
150,sfbay
100,sfbay
180,sfbay
120,sfbay
250,sfbay
29900,sfbay
600,sfbay
18500,sfbay
80000,sfbay
30400,losangeles
120,losangeles
39425,losangeles
50,losangeles
25000,losangeles
40000,losangeles
20,losangeles
9500,losangeles
20900,losangeles
27000,dallas
52044,dallas
17777,dallas
153055,dallas
52044,dallas
24995,dallas
6500,dallas
42995,dallas
28700,dallas
21800,dallas
750,dallas
200,dallas
125,dallas
3700,dallas
21447,dallas
90,dallas
2500,dallas
44900,sandiego
28900,sandiego
45,sandiego
19990,sandiego
59990,sandiego
40,sandiego
49000,sandiego
2999,sandiego
89,sandiego
35000,sandiego
10750,sandiego
14900,sandiego
899,sandiego
5500,sandiego
19995,sanantonio
3000,sanantonio
11988,sanantonio
9500,sanantonio
19999,sanantonio
18699,sanantonio
79900,sanantonio
24650,sanantonio
8950,sanantonio
26237,sanantonio
17995,sanantonio
15863,sanantonio
24588,sanantonio
17500,sanantonio
6490,sfbay
1,sfbay
13500,sfbay
6896,sfbay
23900,sfbay
28750,sfbay
1,sfbay
14000,sfbay
4000,sfbay
22995,sfbay
18000,sfbay
1200,sfbay
15000,sfbay
280,sfbay
16000,sfbay
79995,sfbay
15549,dallas
151200,dallas
34000,dallas
21700,dallas
11900,dallas
52477,dallas
15995,dallas
123000,dallas
1,dallas
32700,dallas
8997,dallas
1,sandiego
315,sandiego
3500,sandiego
9500,sandiego
33950,sandiego
400,sandiego
20500,sandiego
1495,sandiego
24999,sandiego
29995,sandiego
52000,sandiego
19995,houston
16995,sanantonio
79900,sanantonio
12895,sanantonio
17777,sanantonio
54995,sanantonio
19995,sanantonio
27433,sanantonio
47995,sanantonio
49995,sanantonio
15995,sanantonio
14995,sanantonio
7495,sanantonio
24900,sanantonio
24650,sanantonio
145,sfbay
22995,sfbay
12500,sfbay
10999,sfbay
27888,sfbay
37888,sfbay
10000,sfbay
14995,dallas
8997,dallas
24300,dallas
16720,dallas
23500,dallas
6000,dallas
16997,dallas
42995,dallas
43995,dallas
8900,dallas
14995,dallas
2501,dallas
55300,dallas
15995,sandiego
59905,sandiego
99,sandiego
24999,sandiego
12995,sandiego
4600,sandiego
3000,sandiego
24999,sandiego
1500,sandiego
1499,sandiego
12995,houston
5250,houston
27000,houston
23400,houston
17900,houston
26800,houston
27995,houston
46315,houston
43229,houston
36038,houston
43229,houston
29354,houston
26662,houston
16505,houston
16125,sanantonio
35750,sanantonio
12995,sanantonio
33995,sanantonio
26168,sanantonio
16694,sanantonio
14995,sanantonio
25995,sanantonio
14884,sanantonio
17485,sanantonio
23125,sanantonio
39995,sanantonio
44226,sanantonio
52000,sanantonio
26999,sanantonio
7995,sanantonio
5000,sandiego
50,sandiego
150,sandiego
180,sandiego
26990,sandiego
175,sandiego
2045,sandiego
150,sandiego
38999,sandiego
3449,sandiego
2008,houston
36995,houston
9500,houston
5300,houston
4000,houston
150,houston
500,houston
5200,houston
18784,houston
1300,houston
7900,houston
8900,houston
12000,houston
9995,sanantonio
13950,sanantonio
13125,sanantonio
22650,sanantonio
15995,sanantonio
19810,sanantonio
25995,sanantonio
38995,sanantonio
16995,sanantonio
9995,sanantonio
1600,sanantonio
28885,sanantonio
38900,sanantonio
12995,sanantonio
22995,sanantonio
26990,sandiego
59500,sandiego
2580,sandiego
3199,sandiego
13900,sandiego
1,sandiego
11990,sandiego
13900,sandiego
16900,sandiego
30,sandiego
6600,sandiego
28000,sandiego
10999,sandiego
10900,sandiego
14500,houston
19900,houston
24900,houston
28900,houston
32900,houston
39133,houston
26662,houston
